China,negative,-0.519526
Iraq,negative,-0.975268
Broettes,negative,-0.597432
Bernie,positive,0.653312
Trump,negative,-0.741171
Trump,negative,-0.895387
Trump,negative,-0.952075
Barack Obama,negative,-0.865752
Dr. Birx,negative,-0.721318
Joe Biden,neutral,0
Trump,negative,-0.944881
India,negative,-0.615146
USA,neutral,0
China,negative,-0.871636
Biden,negative,-0.889399
@mehdirhasan Bernie,positive,0.76581
Bernie,negative,-0.724065
Mike Dewine,neutral,0
Bernie Sanders,neutral,0
Trump,positive,0.386377
Trump,neutral,0
President Trump,neutral,0
Bill Barr,neutral,0
Mike #Pence,negative,-0.957232
Bernie,negative,-0.564543
Brexit,positive,0.581079
Cardinal George Pell,negative,-0.788907
Donald Trump,negative,-0.701164
America,negative,-0.827134
Navalny,positive,0.607387
Trump,neutral,0
America,negative,-0.827134
Bernie,negative,-0.404676
BERNIE SANDERS,negative,-0.706414
Trump,negative,-0.687744
India,positive,0.987956
Jersey City,negative,-0.913351
Bernie Sanders,negative,-0.818218
Iraq,negative,-0.818218
Bernie,negative,-0.53891
US,negative,-0.655102
Bill Barr,neutral,0
Biden,negative,-0.664558
Trump,negative,-0.980767
Biden,neutral,0
Bernie,positive,0.945321
Iraq,negative,-0.975268
Ohio,neutral,0
UK,neutral,0
Odisha,neutral,0
BERNIE SANDERS,negative,-0.706414
The Hague,neutral,0
Bernie,negative,-0.778143
Trump,negative,-0.947567
Barr,positive,0.817146
Trump,neutral,0
Bernie,negative,-0.913174
Bernie Sanders,neutral,0
U.S.,neutral,0
Bernie,negative,-0.53891
Dirth,neutral,0
Daniel Dae Kim,neutral,0
bernie,negative,-0.984157
Bernie,negative,-0.53891
Bernie,negative,-0.53891
China,neutral,0
Trump,neutral,0
Bernie,negative,-0.271204
Bernie,positive,0.805169
Putin,negative,-0.66759
Andrea Ritchie,positive,0.655717
Trump,neutral,0
Armagh,neutral,0
Iraq,negative,-0.975268
Mnuchin,negative,-0.920337
Trump,negative,-0.777528
bernie,negative,-0.771827
India,negative,-0.415611
Fran Lebowitz,positive,0.361577
Fran Lebowitz,negative,-0.861841
Kevin McCarthy,negative,-0.918056
Indianapolis,negative,-0.779092
USA,neutral,0
U.S.,negative,-0.900773
Katie Porter,positive,0.90683
Trump,negative,-0.672062
Bernie,positive,0.911082
America,negative,-0.905031
Trump,negative,-0.587431
BERNIE SANDERS,negative,-0.706414
Hannity,positive,0.545567
NY,negative,-0.927863
tRump,negative,-0.653878
NYC,positive,0.846932
bernie,negative,-0.771827
Dennis Quaid,negative,-0.554185
NYC,positive,0.846932
New Mexico,negative,-0.850583
Bernie,negative,-0.972496
Nuremberg,neutral,0
Daniel Dae Kim,neutral,0
Daniel Dae Kim,neutral,0
Robert F Kennedy Jr.,neutral,0
Joe Biden,positive,0.537097
ca,neutral,0
Trump,negative,-0.848644
USA,neutral,0
Kushner,negative,-0.864492
Trump,negative,-0.57098
Joe Biden,negative,-0.458804
Trump,negative,-0.922047
bernie,negative,-0.771827
Bill Gates,negative,-0.662242
bernie,negative,-0.771827
🆘Remember Purell Hand Sanitizer ,negative,-0.577474
Michigan,positive,0.633085
Trump,negative,-0.947567
Mitch McConnell,negative,-0.780802
Trump,negative,-0.952075
India,negative,-0.812287
China,positive,0.695281
President Trump,positive,0.964996
bernie,positive,0.730735
Joe Biden,negative,-0.911622
Donald Trump,negative,-0.831393
Donald Trump,neutral,0
poling,neutral,0
Cleveland,neutral,0
ords cann,positive,0.77609
Bernie,negative,-0.564543
USA,neutral,0
Yi Chang,neutral,0
Bernie,positive,0.967485
Yi Chang,neutral,0
Trump,neutral,0
Bernie,neutral,0
Norway,negative,-0.620463
DONALD TRUMP,negative,-0.97253
Trump,neutral,0
Trump,negative,-0.77758
USA,neutral,0
Bernie,negative,-0.53891
Michigan,negative,-0.624139
Larry Elder,negative,-0.877088
Hillary,negative,-0.787327
Trump,neutral,0
America,negative,-0.851083
Bernie,negative,-0.564543
New Delhi,negative,-0.551613
Trump,negative,-0.68462
Las Vegas,neutral,0
BERNIE SANDERS,negative,-0.706414
@JeremyMcLellan,negative,-0.83725
India,positive,0.629437
Erie County,positive,0.35944
@MeghanMcCain Trump,negative,-0.912264
Daniel Dae Kim,neutral,0
Hillary,negative,-0.709227
Nuremberg,neutral,0
Bernie,positive,0.707081
BERNIE SANDERS,negative,-0.706414
Nuremberg,neutral,0
UK,negative,-0.567662
Germany,neutral,0
Boris,positive,0.889885
Bernie Sanders,negative,-0.401065
Mehbood Ali,neutral,0
Donald Trump,negative,-0.900456
@narendramodi,positive,0.955684
Kushner,negative,-0.9382
Bernie,neutral,0
New York,negative,-0.797036
America,negative,-0.932041
Bill Barr,neutral,0
Trump,negative,-0.952704
Cotton,negative,-0.952704
Bernie,negative,-0.53891
Trump,neutral,0.0
Jared,positive,0.579047
Bhasha Mukherjee,negative,-0.948726
joe Biden,negative,-0.834378
Trump,negative,-0.68462
Trump,neutral,0
Bernie,negative,-0.53891
China,negative,-0.767355
Bernie,neutral,0
Trump,negative,-0.713076
India,negative,-0.812287
Lonnie,negative,-0.846649
Trump,negative,-0.444393
Nancy Pelosi,negative,-0.891418
Kamala Harris,neutral,0
Bernie,positive,0.569997
Biden,positive,0.569997
Trump,negative,-0.960705
Bill Gates,negative,-0.33262
Arizona,positive,0.46441
Joseph PIZZA,negative,-0.792825
Bernie,negative,-0.53891
Rep. Porter,negative,-0.796224
Indianapolis,negative,-0.779092
LeBaron,negative,-0.821043
Covid,negative,-0.845307
America,negative,-0.827134
Hillary Clinton,neutral,0
Tom Modly,negative,-0.712391
Joe Scarborough,neutral,0
US,negative,-0.688674
Biden,negative,-0.897798
MN,negative,-0.543516
Joe Biden,negative,-0.629655
Donald Trump,negative,-0.900009
Bernie,negative,-0.53891
RT @Jim_Jordan,negative,-0.821222
James Comey,negative,-0.821222
Trump,neutral,0
Trump,neutral,0
America,negative,-0.897303
Obama,negative,-0.895862
Hillary Clinton,neutral,0
Europe,positive,0.608926
bernie,neutral,0
Robert Jenrick,neutral,0
Europe,negative,-0.656278
Viktor Orban,positive,0.575775
BERNIE SANDERS,negative,-0.706414
Sen,negative,-0.867418
Bernie,positive,0.653312
USA,neutral,0
USA,neutral,0
Rep. Porter,negative,-0.64114
America,negative,-0.64114
Trump,positive,0.494447
The Hague,neutral,0
Joe Biden,positive,0.46505
USA,neutral,0
Donald Trump,neutral,0
Donald Trump,negative,-0.900456
Trump,negative,-0.68462
India,neutral,0
Ecuador,negative,-0.886294
Robert Jenrick,neutral,0
Trump,neutral,0
Dear Berners,positive,0.904597
Indianapolis,negative,-0.779092
Carrier Roosevelt,neutral,0
Bernie,neutral,0
Trump,positive,0.349767
Bernie,negative,-0.764268
Trump,negative,-0.869469
Adam Schiff,negative,-0.98445
Trump,neutral,0
Donald Trump,negative,-0.248157
Trump,negative,-0.833887
Iraq,negative,-0.975268
america,negative,-0.989
Joe Biden,negative,-0.458804
Obama,negative,-0.933457
Joe Biden,positive,0.46505
Cuomo,neutral,0
Europe,neutral,0
David Frum,positive,0.419829
NYC,negative,-0.845693
Trump,negative,-0.847902
Bernie,negative,-0.53891
Bernie,positive,0.504619
Dr. Scott Jensen,negative,-0.891566
U.S.,negative,-0.900773
Bajan,negative,-0.86042
Arunachal Pradesh,positive,0.384818
Trump,positive,0.666818
Trump,neutral,0
Wuhan,neutral,0
America,negative,-0.827134
Trump,negative,-0.641411
Joe Torre,neutral,0
BERNIE,negative,-0.669045
Dennis,negative,-0.950212
Alrighty,positive,0.555665
India,positive,0.987956
@WSJ 🦠 ,negative,-0.782576
Bernie,negative,-0.53891
Elmhurst,positive,0.664134
Joe Biden,positive,0.46505
Prime Minister Boris Johnson,neutral,0
UK,neutral,0
Biden,negative,-0.69552
 completely i,neutral,0
Yi Chang,neutral,0
America,neutral,0
President Trump,neutral,0
Trump,negative,-0.70407
Iraq,negative,-0.975268
@GaultJohan,neutral,0
Julian Assange,neutral,0
Iraq,negative,-0.975268
Andy Murray,neutral,0
Madrid,neutral,0
Trump,negative,-0.692468
Dr. Fauci,positive,0.50252
Barack Obama,negative,-0.933459
Donald Trump,negative,-0.799887
Barr,positive,0.96069
India,negative,-0.736406
Trump,neutral,0
Cabinet minister Robert Jenrick,negative,-0.486174
Mike Dewine,neutral,0
Iraq,negative,-0.975268
Melinda Gates,neutral,0
Sindh,neutral,0
Bernie,negative,-0.564543
USA,neutral,0
Donald Trump,neutral,0
Bill Gates,negative,-0.571935
Trump,negative,-0.68462
Bernie Sanders,negative,-0.843391
RT @JebBush,positive,0.430376
biden,negative,-0.985153
Monroe County,neutral,0
moscow mitch,neutral,0
Abdul Mabud Chowdhury,negative,-0.805002
Jim Banks,negative,-0.676061
NY,neutral,0
Trump,neutral,0
Robert Jenrick,neutral,0
BERNIE SANDERS,negative,-0.706414
America,positive,0.910979
USA,neutral,0
New York,negative,-0.853051
Narendra Modi,positive,0.975238
Tanden,negative,-0.909748
Trump,negative,-0.962098
Coach Buzz,neutral,0
India,negative,-0.77215
Sanders,negative,-0.504701
BERNIE SANDERS,negative,-0.706414
Britain,neutral,0
bernie sanders,positive,0.968982
Canada,positive,0.861636
Trump,negative,-0.606517
Bill Gates,negative,-0.777998
U.S.,negative,-0.777998
Trump,negative,-0.761026
President Trump,neutral,0
China,negative,-0.810278
Lonnie,negative,-0.846649
Peter Navarro,neutral,0
Joe Biden,negative,-0.923368
Trump,negative,-0.923368
America,neutral,0
Dr Fauci,negative,-0.574792
Mullingar,negative,-0.65283
bernie,neutral,0
John Durham,negative,-0.423045
Dr. Oz,positive,0.439817
bernie,positive,0.968699
Hickenlooper,neutral,0
VA,neutral,0
Biden,negative,-0.889399
Johnson,positive,0.884317
Bernie,negative,-0.564543
Trump,negative,-0.952075
Pakistan,positive,0.672592
Agolf Twitler,negative,-0.704531
Mitch McConnell,negative,-0.775692
Bernie,neutral,0
Rush Limbaugh,negative,-0.894434
bernie,negative,-0.957097
Former VP Joe Biden,neutral,0
Devin Nunes,negative,-0.837105
Christopher Steele,negative,-0.837105
Las Vegas,negative,-0.45726
King Salman,neutral,0
MR Trump,neutral,0
King Salman,neutral,0
Trump,negative,-0.606517
Bernie Sanders,negative,-0.843391
King Salman,neutral,0
President Trump,neutral,0
Ivanka Trump,neutral,0
Bernie,negative,-0.9692
Trump,negative,-0.943054
king moron,negative,-0.927132
Bernie,positive,0.786833
GW Bush,negative,-0.958985
Obama,negative,-0.958985
California,negative,-0.852659
Oregon,negative,-0.852659
Indianapolis,negative,-0.779092
King Salman,neutral,0
Bernie,negative,-0.564543
Bernie,negative,-0.53891
india,positive,0.979239
Sweden,negative,-0.668132
Donald Trump,negative,-0.9111
Fran Lebowitz,negative,-0.642824
President Trump,negative,-0.843547
BERNIE SANDERS,negative,-0.706414
Trump,negative,-0.984336
Bernie Sander,negative,-0.852714
Dr. Fauci,neutral,0
Alex Berenson,negative,-0.811856
US,neutral,0
Trump,neutral,0
Trump,negative,-0.947567
King Salman,neutral,0
Wuhan,neutral,0
Bernie,neutral,0
Kamala Harris,positive,0.686226
Mitch McConnell,negative,-0.775692
Iraq,negative,-0.975268
Bernie,negative,-0.908725
RT @Jim_Jordan,negative,-0.821222
James Comey,negative,-0.821222
Jenny Harries,negative,-0.665428
bernie sanders,neutral,0
Daniel Dae Kim,neutral,0
King Salman,neutral,0
@narendramodi,positive,0.955684
Bill Ga,negative,-0.796812
Trump,negative,-0.827468
BERNIE SANDERS,negative,-0.706414
@narendramodi,positive,0.955684
Bernie Sanders,negative,-0.843391
Bernie,negative,-0.53891
@narendramodi,positive,0.955684
Trump,neutral,0
King Salman,neutral,0
Donald Trump,negative,-0.781101
Trump,negative,-0.614358
Bernie Sanders,neutral,0
Biden,negative,-0.549643
BERNIE SANDERS,negative,-0.706414
David Frum,positive,0.419829
New York,negative,-0.872214
Biden,neutral,0
Las Vegas,neutral,0
Iraq,negative,-0.975268
Peter,positive,0.887202
Trump,neutral,0
US,negative,-0.688674
Dr. @drscottjensen,negative,-0.917244
Fauci,negative,-0.85165
Bernie,negative,-0.53891
BERNIE SANDERS,negative,-0.706414
Bill Gates,neutral,0
Bernie,negative,-0.601931
Jill Stein,negative,-0.885778
Biden,negative,-0.851647
Trump,negative,-0.894336
Governor Walz,negative,-0.818071
Trump,neutral,0
Bill Gates,negative,-0.91125
Bernie,negative,-0.53891
Lonnie,negative,-0.846649
Donald Trump,negative,-0.386763
Daniel Dae Kim,neutral,0
Bernie Sanders,positive,0.596511
BERNIE SANDERS,negative,-0.706414
RT @politvidchannel,negative,-0.88281
ai,negative,-0.873973
Trump,negative,-0.833887
India,negative,-0.874551
BERNIE SANDERS,negative,-0.706414
Bernie,positive,0.483687
China,negative,-0.871636
south India,neutral,0
Trump,negative,-0.956546
Fauci,negative,-0.644806
David Frum,positive,0.419829
Biden,negative,-0.602494
Trump,negative,-0.641411
bernie,negative,-0.771827
Trump,negative,-0.960705
✅ Owen,neutral,0
Trump,negative,-0.886831
King Salman,neutral,0
Biden,negative,-0.69552
America,negative,-0.827134
David Frum,positive,0.419829
Bernie Sanders,positive,0.596511
Trump,negative,-0.952075
China,negative,-0.864299
Las Vegas,negative,-0.45726
Trump,negative,-0.925842
Trump,negative,-0.68462
Trump,neutral,0
Trump,negative,-0.856048
Trump,negative,-0.947567
Boris Johnson,negative,-0.553755
Flint,neutral,0
Elizab,neutral,0
Murad Ali Shah,neutral,0
MAGA Scahill,negative,-0.995069
Trump,neutral,0
Trump,negative,-0.923256
Fauci,negative,-0.47145
Bernie,neutral,0
Bernie Sanders,neutral,0
President Trump,neutral,0
Bernie,negative,-0.564543
bob dibuono,negative,-0.838352
President Trump,neutral,0
Yi Chang,neutral,0
Lisa,neutral,0
Bernie,negative,-0.684241
Bernie,positive,0.993886
Bernie,positive,0.534171
Hilary Clinton,negative,-0.990235
Pakistan,positive,0.672592
Lieutenant Sackey,negative,-0.634157
Yi Chang,neutral,0
Donald Trump,neutral,0
@nkjemisin,positive,0.748714
Trump,positive,0.748714
Julian Assange,negative,-0.88882
Eric Eggers,neutral,0
Trump,neutral,0
Trump,negative,-0.941957
bernie,negative,-0.449242
Hajdu,neutral,0
Donald Trump,positive,0.547688
Bernie,positive,0.967485
𝐼𝑡 𝑚𝑎𝑘𝑒,neutral,0
omes t,neutral,0
Joe Rogan,neutral,0
Kenya,negative,-0.466683
Presser,neutral,0
Bernie,positive,0.5437
Bernie,positive,0.935421
Joe,positive,0.77219
Trump,negative,-0.947567
